Subject Name,Subject Code,URL,Level,Credit Points,Offering Info
Distributed Systems and Game Theory,ELEN90078,https://handbook.unimelb.edu.au/2024/subjects/elen90078,Graduate coursework,12.5 credit points,Not offered in 2024
Behavioural Economics:Accounting&Finance,ECON90062,https://handbook.unimelb.edu.au/2024/subjects/econ90062,Graduate coursework,12.5 credit points,Not offered in 2024
Particle Technology,CHEN90018,https://handbook.unimelb.edu.au/2024/subjects/chen90018,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Port Access and Navigation,CVEN90068,https://handbook.unimelb.edu.au/2024/subjects/cven90068,Graduate coursework,12.5 credit points,Not offered in 2024
Secure Cyberphysical Systems,ELEN90080,https://handbook.unimelb.edu.au/2024/subjects/elen90080,Graduate coursework,12.5 credit points,Not offered in 2024
Microbiology in Agriculture,AGRI20044,https://handbook.unimelb.edu.au/2024/subjects/agri20044,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Physics Research Project Pt 3,PHYC90049,https://handbook.unimelb.edu.au/2024/subjects/phyc90049,Graduate coursework,37.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Body Knowledges: Dance Science,DNCE10029,https://handbook.unimelb.edu.au/2024/subjects/dnce10029,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
Prefabrication in Building,ABPL90325,https://handbook.unimelb.edu.au/2024/subjects/abpl90325,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Research Methods in the Creative Arts,CREA40001,https://handbook.unimelb.edu.au/2024/subjects/crea40001,Honours,12.5 credit points,"Offered Semester 1, 2024"
Biostatistics Research Project Part 2,POPH90289,https://handbook.unimelb.edu.au/2024/subjects/poph90289,Graduate coursework,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
A First Course In Statistical Learning,MAST90104,https://handbook.unimelb.edu.au/2024/subjects/mast90104,Graduate coursework,25 credit points,"Offered Semester 2, 2024"
