Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Latin 3,CLAS10012,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/clas10012
A Taste of Europe: Melbourne Intensive,EURO30006,"Offered February, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/euro30006
The Power and Limits of Logic,PHIL30043,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/phil30043
Spanish 4,SPAN10004,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/span10004
"Rock, Pop & Resistance",SPAN30012,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/span30012
Spanish 7,SPAN30016,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/span30016
Ethnic Nationalism and the Modern World,ANTH20011,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/anth20011
Ecology in Changing Environments,ECOL30006,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/ecol30006
Contemporary Chinese Literature,CHIN10019,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/chin10019
Aboriginal Writing,INDG30004,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/indg30004
"City Cultures, Urban Ecologies",CULS30005,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/culs30005
Nutrition Policy and Public Health,NUTR30001,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/nutr30001
Performance and the World,ENGL30048,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/engl30048
A History of Sexualities,HIST30004,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/hist30004
Science and Society,HPSC30023,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/hpsc30023
Asian Century: Meaning and Impact,ASIA10002,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/asia10002
Criminal Law and Political Justice,CRIM20002,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/crim20002
"Young People, Crime and Justice",CRIM30011,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/crim30011
Contemporary Japan,JAPN20005,"Offered Semester 1, Winter Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/japn20005
Tales of Muslim Spain,SPAN20026,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/span20026
Ancient Egyptian 1,ANCW10006,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ancw10006
Chinese 4,CHIN10016,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/chin10016
Spanish 2,SPAN10002,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/span10002
Experimental Animal Behaviour,ZOOL30007,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/zool30007
"Language, Society and Culture",LING20010,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/ling20010
German 5,GERM20007,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/germ20007
