Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
"Crime, Criminology, and Critique",CRIM10001,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/crim10001
Variation in Japanese Language,JAPN30012,"Offered Summer Term, Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/japn30012
Philosophy of Language,PHIL30053,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/phil30053
God and the Natural Sciences,HPSC20020,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/hpsc20020
Modern and Contemporary Literature,ENGL10001,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/engl10001
Ancient Egyptian 3,ANCW20023,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/ancw20023
Arabic 5,ARBC20006,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/arbc20006
Chinese 6,CHIN30009,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/chin30009
Asian Religions in Societal Context,ASIA30003,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/asia30003
German 7,GERM20001,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/germ20001
Language and Society in Europe,EURO20001,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/euro20001
"Slavery & Freedom: US History, 1763-1945",HIST20059,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/hist20059
Korean 4,KORE10004,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/kore10004
Contemporary Art,AHIS30020,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/ahis30020
Japanese Grammar in Action,JAPN20010,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/japn20010
Advanced Seminar in Chinese,CHIN20022,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/chin20022
Punishment and Social Control,CRIM20006,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/crim20006
City Visions: Melbourne Intensive,HIST20087,"Offered Summer Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/hist20087
The French Revolution,HIST20068,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/hist20068
German 10,GERM30004,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/germ30004
Transit Oriented Development,PLAN30004,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/plan30004
Global Criminology,CRIM30002,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/crim30002
Analysis of Contemporary Chinese Society,CHIN30006,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/chin30006
Genders and Desires in Asia,ASIA20003,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/asia20003
Decadent Literature,ENGL30016,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/engl30016
French 7,FREN30001,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/fren30001
