Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Science Communication and Employability,MULT20011,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/mult20011
Foundations of Informatics,INFO20002,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/info20002
Derivative Securities,FNCE30007,"Offered Semester 1, Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/fnce30007
Evolution: Making Sense Of Life,BIOL20001,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/biol20001
Quantum and Thermal Physics,PHYC20012,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/phyc20012
Functional Foods,FOOD30010,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/food30010
Vegetation Management and Conservation,BOTA30004,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/bota30004
Japanese 3,JAPN10007,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/japn10007
Drugs Affecting the Nervous System,PHRM30002,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/phrm30002
Learning via Sport and Outdoor Education,EDUC20070,"Offered Semester 1, Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/educ20070
Consumer Law,BLAW20003,"Offered Winter Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/blaw20003
Genes: Organisation and Function,GENE30002,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/gene30002
Special Relativity and Electromagnetism,PHYC20015,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/phyc20015
Sports Economics,ECON20011,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/econ20011
Peak Performance Under Pressure,MUSI20203,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/musi20203
Computer Systems,COMP30023,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/comp30023
Sports Science & Coaching Applications,EDUC30070,"Offered Semester 1, Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/educ30070
Reactors and Catalysis,CHEN30001,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/chen30001
Japanese 4,JAPN10008,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/japn10008
Painting Techniques,FINA20026,"Offered Summer Term, February, Semester 1, Winter Term, July, Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/fina20026
Big Band 2 (Breadth),MUSI20132,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/musi20132
Field Botany,BOTA30006,"Offered Summer Term, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/bota30006
Construction Management,ABPL30055,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/abpl30055
IT Project,COMP30022,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/comp30022
