Course Code,Major/Minor Name,URL
B-SCI,Veterinary Bioscience,https://handbook.unimelb.edu.au/2024/components/b-sci-major-45/print
B-SCI,Zoology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-37/print
B-AGR,Agricultural Economics,https://handbook.unimelb.edu.au/2024/components/b-agr-major-2/print
B-AGR,Plant and Soil Science,https://handbook.unimelb.edu.au/2024/components/b-agr-major-1/print
B-AGR,Production Animal Science,https://handbook.unimelb.edu.au/2024/components/b-agr-major-3/print
B-COM,Accounting,https://handbook.unimelb.edu.au/2024/components/b-com-major-1/print
B-COM,Actuarial Studies,https://handbook.unimelb.edu.au/2024/components/b-com-major-2/print
B-COM,Economics,https://handbook.unimelb.edu.au/2024/components/b-com-major-4/print
B-COM,Finance,https://handbook.unimelb.edu.au/2024/components/b-com-major-5/print
B-COM,Management,https://handbook.unimelb.edu.au/2024/components/b-com-major-6/print
B-COM,Marketing,https://handbook.unimelb.edu.au/2024/components/b-com-major-7/print
B-MUS,Composition,https://handbook.unimelb.edu.au/2024/components/b-mus-major-1/print
B-MUS,Interactive Composition,https://handbook.unimelb.edu.au/2024/components/b-mus-major-2/print
B-MUS,Jazz & Improvisation,https://handbook.unimelb.edu.au/2024/components/b-mus-major-3/print
B-MUS,Music Studies,https://handbook.unimelb.edu.au/2024/components/b-mus-major-5/print
B-MUS,Musicology & Ethnomusicology,https://handbook.unimelb.edu.au/2024/components/b-mus-major-4/print
B-MUS,Performance,https://handbook.unimelb.edu.au/2024/components/b-mus-major-6/print
B-MUS,Performance (ANAM),https://handbook.unimelb.edu.au/2024/components/b-mus-major-7/print
B-DES,Architecture,https://handbook.unimelb.edu.au/2024/components/b-des-major-1/print
B-DES,Civil Engineering Systems,https://handbook.unimelb.edu.au/2024/components/b-des-major-2/print
B-DES,Computing and Software Systems,https://handbook.unimelb.edu.au/2024/components/b-des-major-3/print
B-DES,Construction,https://handbook.unimelb.edu.au/2024/components/b-des-major-4/print
B-DES,User Experience Design,https://handbook.unimelb.edu.au/2024/components/b-des-major-5/print
B-DES,Graphic Design,https://handbook.unimelb.edu.au/2024/components/b-des-major-6/print
B-DES,Landscape Architecture,https://handbook.unimelb.edu.au/2024/components/b-des-major-7/print
B-DES,Mechanical Engineering Systems,https://handbook.unimelb.edu.au/2024/components/b-des-major-8/print
B-DES,Performance Design,https://handbook.unimelb.edu.au/2024/components/b-des-major-9/print
B-DES,Property,https://handbook.unimelb.edu.au/2024/components/b-des-major-10/print
B-DES,Spatial Systems,https://handbook.unimelb.edu.au/2024/components/b-des-major-11/print
B-DES,Urban Planning,https://handbook.unimelb.edu.au/2024/components/b-des-major-12/print
B-DES,Digital Infrastructure Engineering Systems,https://handbook.unimelb.edu.au/2024/components/b-des-major-13/print
B-DES,Building Information Modelling,https://handbook.unimelb.edu.au/2024/components/b-des-infspc-3/print
B-DES,Design Histories,https://handbook.unimelb.edu.au/2024/components/b-des-infspc-7/print
B-DES,Design Visualisation,https://handbook.unimelb.edu.au/2024/components/b-des-infspc-4/print
