Subject Name,Subject Code,Subject Type,Primary Info,Credits,URL
Literature and Performance,ENGL10002,Subject,"Offered Semester 1, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/engl10002
Italian Fictions,ITAL30006,Subject,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ital30006
Money and Sweat: Economic Anthropology,ANTH30024,Subject,"Offered Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/anth30024
Trans Studies: Cultures and Communities,GEND30007,Subject,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/gend30007
Languages of Venice: Study Abroad,ITAL20006,Requisites apply,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ital20006
Arts Internship: Not for Profit,MULT20012,Requisites apply,"Offered Semester 1, Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mult20012
"Self, Culture and Society",ANTH20012,Subject,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/anth20012
Dancing the Dance 3: Dance for Video,DNCE20033,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dnce20033
Early Voices 2,MUSI20081,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 2, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/musi20081
Japanese 7,JAPN10005,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/japn10005
Writing Videogames and Live Performance,CWRI30015,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/cwri30015
Italian 4,ITAL20008,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ital20008
Principles of Chemical Biology,CHEM20026,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/chem20026
Life Writing,CWRI30013,Subject,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/cwri30013
Translation: Intercultural Indonesian,INDO20016,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/indo20016
French and Francophone Cultural Studies,FREN20016,Requisites apply,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fren20016
Philosophy: The Big Questions,PHIL10002,Subject,"Offered Semester 1, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/phil10002
Inside the City of Diversity,GEOG20008,Subject,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/geog20008
Islam and Ethics: Doctrines and Debates,ISLM30003,Subject,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/islm30003
Ancient & Contemporary Indigenous Arts 2,AIND20012,Quotas apply,"Offered Winter Term, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/aind20012
International Gender Politics,POLS30015,Subject,Not offered in 2024,"Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/pols30015
"Crime, Criminology, and Critique",CRIM10001,Subject,"Offered Semester 1, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/crim10001
Variation in Japanese Language,JAPN30012,Quotas apply,"Offered Summer Term, Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/japn30012
Philosophy of Language,PHIL30053,Subject,"Offered Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/phil30053
God and the Natural Sciences,HPSC20020,Subject,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/hpsc20020
Modern and Contemporary Literature,ENGL10001,Subject,"Offered Semester 2, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/engl10001
Human Sciences: From Cells to Societies,SCIE10004,Subject,"Offered Semester 2, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/scie10004
Big Band 1,MUSI20071,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/musi20071
Ancient Egyptian 3,ANCW20023,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ancw20023
Arabic 5,ARBC20006,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/arbc20006
Chinese 6,CHIN30009,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/chin30009
Asian Religions in Societal Context,ASIA30003,Subject,"Offered Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/asia30003
Graphic Design Studio 1: Image & Text,GDES10001,Subject,"Offered Semester 1, Semester 2, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/gdes10001
Brass Ensemble 2,MUSI20074,Subject,"Offered Semester 2, 2024","Undergraduate Level 2, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/musi20074
German 7,GERM20001,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/germ20001
Language and Society in Europe,EURO20001,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/euro20001
"Slavery & Freedom: US History, 1763-1945",HIST20059,Subject,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/hist20059
