Course Name,Course Code,Location,Duration,Credit Points,Course Url
Graduate Certificate in Gerontology,GC-GERON,Online,6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-geron
Specialist Certificate in Gerontology,SC-GERON,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-geron
Bachelor of Science (Extended),B-SCIEXT,"Parkville, On Campus",48 months full-time or 96 months part-time,400,https://handbook.unimelb.edu.au/2024/courses/b-sciext
Graduate Certificate in Cancer Nursing,GC-CNCRNUR,Online,12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-cncrnur
Master of Geography,MC-GEOG,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-geog
Diploma in Music,D-MUSIC,"Parkville, On Campus",12 months full-time,100,https://handbook.unimelb.edu.au/2024/courses/d-music
Master of Science (BioSciences),MC-SCIBIO,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-scibio
Bachelor of Oral Health,841AC,"Parkville, On Campus",36 months full-time,300,https://handbook.unimelb.edu.au/2024/courses/841ac
Graduate Certificate in Science Education (Years 7-10),GC-SCIED10,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-scied10
Graduate Certificate in Mathematics Education (Years 7-10),GC-MTHED10,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-mthed10
Master of Advanced Social Work,MC-ASW,Online,24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-asw
Graduate Certificate in Genomics and Health,GC-GENOHLT,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-genohlt
Master of Music Therapy,M04AA,"Southbank, Mixed Attendance Mode",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/m04aa
Master of Data Science,MC-DATASC,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-datasc
Graduate Diploma in Clinical Dentistry,031AA,"Parkville, On Campus",12 months full-time,100,https://handbook.unimelb.edu.au/2024/courses/031aa
Graduate Certificate in Garden Design,GC-GARDES,"Burnley, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-gardes
Graduate Diploma in Urban Horticulture,GD-URBHORT,"Burnley, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-urbhort
Master of Clinical Audiology,305BB,"Parkville, On Campus",24 months full-time,200,https://handbook.unimelb.edu.au/2024/courses/305bb
Graduate Certificate in Urban Horticulture,GC-URBHORT,"Burnley, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-urbhort
Master of Supply Chain Management,MC-SCM150,Online,18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-scm150
Graduate Diploma in Data Science,GD-DATASC,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-datasc
Master of Finance,MC-FINANCE,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-finance
Master of Finance (Enhanced),MC-FINENH,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-finenh
Master of Commerce (Management),MC-COMMGMT,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-commgmt
Master of Ecosystem Management and Conservation,MC-ECOSMC,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-ecosmc
Master of Commerce (Accounting),MC-COMACT,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-comact
Master of Commerce (Finance),MC-COMFIN,"Parkville, On Campus",24 months full-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-comfin
Master of Commerce (Marketing),MC-COMMKTG,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-commktg
"Master of Commerce (Decision, Risk and Financial Sciences)",MC-COMDRFS,"Parkville, On Campus",24 months full-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-comdrfs
Graduate Certificate in Modern Languages Education,GC-MLED,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-mled
